[01:12:23] -- REVIEW --
[01:12:23]   [검토 1/3]
[03:19:18]   [medium] 형식이 어긋난 보충·회수 지시는 어느 갈래에도 걸리지 않아 통지 없이 조용히 무시된다 -> SWF-360
[03:19:19]   [medium] 배출 10 초는 어떤 코드도 걸지 않는 값이고, dispense_timer 에 대한 단언은 실패할 수 없다 -> SWF-361
[03:19:19]   [low] 판매 중지로 내려갈 때 남은 손님 돈의 처분이 문서에 없고, 추측으로 메운 자리에 요구사항 밖의 전이 둘이 생겼다 -> SWF-362
[03:19:19]   > SWF-356 [검토/high] 같은 객체로 전원을 껐다 켜면 미반환 보관액이 두 배가 되고, 어떤 테스트도 그 경로를 밟지 않는
[03:26:18]     [FAIL] 테스트 실패 (시도 1/3)
[03:38:59]     [FAIL] 테스트 실패 (시도 2/3)
[03:44:10]     [WARN] xfail/skip 이 1개 늘었다 -- 결함을 덮은 것으로 보아 해소로 치지 않는다
[03:44:11]   > SWF-357 [검토/high] REQ-18 보유량 합계 항등식을 계산해 보는 테스트가 저장소에 하나도 없다
[03:59:11]     시도 1 실패: timeout after 900s
[04:10:09]     시도 2 실패: exit 1: 
[04:10:12]     시도 3 실패: exit 1: 
[04:10:12]   > SWF-358 [검토/medium] REQ-80·81 의 fsync 가 구현에 한 줄도 없고, 그 유일한 테스트는 xfail 로 
[04:10:15]     시도 1 실패: exit 1: 
[04:10:18]     시도 2 실패: exit 1: 
[04:10:22]     시도 3 실패: exit 1: 
[04:10:22]   > SWF-359 [검토/medium] 예약된 관리 모드 진입이 배출 실패 뒤 자동으로 이어지지 않는다 — 내부 이벤트를 발화시키는 
[04:10:25]     시도 1 실패: exit 1: 
[04:10:28]     시도 2 실패: exit 1: 
[04:10:31]     시도 3 실패: exit 1: 
[04:10:32]   > SWF-360 [검토/medium] 형식이 어긋난 보충·회수 지시는 어느 갈래에도 걸리지 않아 통지 없이 조용히 무시된다
[04:10:35]     시도 1 실패: exit 1: 
[04:10:38]     시도 2 실패: exit 1: 
[04:10:41]     시도 3 실패: exit 1: 
[04:10:41]   > SWF-361 [검토/medium] 배출 10 초는 어떤 코드도 걸지 않는 값이고, dispense_timer 에 대한 단언은 실
[04:10:44]     시도 1 실패: exit 1: 
[04:10:47]     시도 2 실패: exit 1: 
[04:10:50]     시도 3 실패: exit 1: 
[04:10:51]   [검토 3/3]
[04:10:53] [STOP] 워커를 쓸 수 없습니다: critic: exit 1: 
   사용량 한도나 네트워크 문제일 가능성이 높습니다. 상태는 저장됐고, 다시 run 하면 이어집니다.
[04:10:53] 정지 지점: REVIEW | 통계: {'done': 78, 'critic_blocked': 18, 'critic_fixed': 10}
