[20:23:30] -- REVIEW --
[20:23:30]   [검토 1/3]
[20:58:05]     [OK] 전체 통과 (시도 3)
[20:58:05]   커밋 a5227f5: SWF-294 [검토/high] fsync 가 한 줄도 없다 — 저장 내구성 요구사항이 구현도 검증도 되지 않았다
[20:58:05]   > SWF-295 [검토/high] 판매 중지 상태에 남은 누적 투입 금액은 고객이 어떤 방법으로도 되찾을 수 없다
[21:04:28]     [OK] 전체 통과 (시도 1)
[21:04:29]   커밋 11fa279: SWF-295 [검토/high] 판매 중지 상태에 남은 누적 투입 금액은 고객이 어떤 방법으로도 되찾을 수 없다
[21:04:29]   > SWF-296 [검토/medium] 고장이 해제된 뒤 도착한 배출 완료 신호는 지연 배출로 기록되지 않고 조용히 버려진다
[21:10:19]     시도 1 실패: IDLE · HAS_CREDIT · OUT_OF_STOCK · ADMIN_MODE (즉 `pending is None` 인 자리)에 도착한 DISPENSE_COMPLETE 를 지연 배출로 기록해야 하는지가 규정되어 있지 않다 — FSM 명세 표에는 해당 전이가 아예 없고, INTERFA
[21:19:23]     [OK] 전체 통과 (시도 2)
[21:19:24]   커밋 2022006: SWF-296 [검토/medium] 고장이 해제된 뒤 도착한 배출 완료 신호는 지연 배출로 기록되지 않고 조용히 버려진다
[21:19:24]   > SWF-299 [검토/low] 버튼 입력에서 배출 개시까지 2초 제한(REQ-85)은 코드에도 테스트에도 없다
[21:25:19]     [OK] 전체 통과 (시도 1)
[21:25:20]   커밋 ddb706c: SWF-299 [검토/low] 버튼 입력에서 배출 개시까지 2초 제한(REQ-85)은 코드에도 테스트에도 없다
[21:25:20]   > SWF-300 [검토/low] 고장이 해제되지 않은 관리 모드에서는 보충·회수·재고 조정·보관액 조회를 전혀 할 수 없다
[21:33:54]     [FAIL] 테스트 실패 (시도 1/3)
[21:42:41]     [OK] 전체 통과 (시도 2)
[21:42:42]   커밋 9782742: SWF-300 [검토/low] 고장이 해제되지 않은 관리 모드에서는 보충·회수·재고 조정·보관액 조회를 전혀 할 수 없다
[21:42:42]   [검토 2/3]
[21:52:40]   critic: YAML 파싱 실패 -> 재질의 (원문은 .factory/raw/ 에 보존)
[21:59:28]   확인함: app/vending_machine.py 전체를 읽었다 — 상태 컨테이너, guard 26개, action 46개, TRANSITIONS 표 T-001~T-115, UNMATCHED_EVENT_ACTIONS
[21:59:28]   확인함: tests/test_fsm.py 의 전이별 테스트 115건과 tests/e2e/test_scenarios.py 의 UC-01~UC-18 시나리오, 회계 불변식(Ledger), 무작위 워크, 전이 쌍 커버리지 테스트
[21:59:28]   확인함: REQ-01~REQ-116 을 유스케이스, 전이, 테스트까지 한 줄씩 따라가며 어디서 끊기는지 표로 맞춰 보았다
[21:59:28]   확인함: 보존량(동전, 재고, 미반환 보관액, 판매액)마다 늘리는 자리와 줄이는 자리가 짝이 맞는지 grep 으로 확인했다
[21:59:28]   확인함: 같은 (상태, 이벤트) 조합의 guard 들이 입력 공간을 덮는지, 어느 갈래에도 안 걸리는 입력이 있는지 손으로 나눠 봤다
[21:59:28]   확인함: git log 로 SWF-294 부터 SWF-300 까지의 직전 검토 지적이 실제 구현으로 반영됐는지 커밋 내용을 확인했다
[21:59:28]   확인함: [모호] 표시된 REQ-08, REQ-25, REQ-76, REQ-94 가 코드에서 어떻게 처리됐는지 각각 확인했다
[21:59:28] 검토: 7건 (high 3 / medium 3 / low 1)
[21:59:28]   [high] 배출이 실패하면 고객이 낸 음료 가격이 고객에게도 판매액에도 잡히지 않고 기기에 남는다 -> SWF-301
[21:59:29]   [high] 미반환 보관액은 늘기만 하고 회수해도 줄지 않아 몇 번이든 다시 회수된다 -> SWF-302
[21:59:29]   [high] fsync 가 구현에 한 줄도 없고, 그것을 검증하는 유일한 테스트는 xfail 로 초록에 섞여 있다 -> SWF-303
[21:59:29]   [medium] 판매액이 저장 대상이 아니어서 REQ-26 회계식이 재기동을 건너뛰면 검증되지 않는다 -> SWF-304
[21:59:29]   [medium] 판매 중지 상태에서는 30초 무조작 자동 반환 이벤트가 어느 전이에도 걸리지 않는다 -> SWF-305
[21:59:30]   [medium] 음료 선택과 반환 레버 조작은 30초 무조작 타이머를 되살리지 않는다 -> SWF-306
[21:59:30]   [low] 타이머가 되살아나는지 확인한다는 단언은 실패할 수 없다 -> SWF-307
[21:59:30]   > SWF-303 [검토/high] fsync 가 구현에 한 줄도 없고, 그것을 검증하는 유일한 테스트는 xfail 로 초록에 섞여 
[22:05:36]     [FAIL] 테스트 실패 (시도 1/3)
[22:20:23]     [FAIL] 테스트 실패 (시도 2/3)
[22:28:35]     [FAIL] 테스트 실패 (시도 3/3)
[22:28:36]   > SWF-304 [검토/medium] 판매액이 저장 대상이 아니어서 REQ-26 회계식이 재기동을 건너뛰면 검증되지 않는다
[22:40:46]     [OK] 전체 통과 (시도 1)
[22:40:46]   커밋 fea4438: SWF-304 [검토/medium] 판매액이 저장 대상이 아니어서 REQ-26 회계식이 재기동을 건너뛰면 검증되지 않는다
[22:40:46]   > SWF-305 [검토/medium] 판매 중지 상태에서는 30초 무조작 자동 반환 이벤트가 어느 전이에도 걸리지 않는다
[22:47:50]     [OK] 전체 통과 (시도 1)
[22:47:51]   커밋 b4e678e: SWF-305 [검토/medium] 판매 중지 상태에서는 30초 무조작 자동 반환 이벤트가 어느 전이에도 걸리지 않는다
[22:47:51]   > SWF-306 [검토/medium] 음료 선택과 반환 레버 조작은 30초 무조작 타이머를 되살리지 않는다
[22:52:41]     [OK] 전체 통과 (시도 1)
[22:52:42]   커밋 86cb68e: SWF-306 [검토/medium] 음료 선택과 반환 레버 조작은 30초 무조작 타이머를 되살리지 않는다
[22:52:42]   > SWF-307 [검토/low] 타이머가 되살아나는지 확인한다는 단언은 실패할 수 없다
[22:59:39]     [OK] 전체 통과 (시도 1)
[22:59:40]   커밋 a1cdf89: SWF-307 [검토/low] 타이머가 되살아나는지 확인한다는 단언은 실패할 수 없다
[22:59:40]   [검토 3/3]
[23:10:42]   확인함: requirements.md 의 REQ-01~REQ-116 을 유스케이스(UC-01~UC-18) · 전이(T-001~T-115) · tests/test_fsm.py · tests/e2e/test_scenarios.py 로 하나씩 따라가며 끊긴 자리를 찾았다
[23:10:42]   확인함: app/vending_machine.py 의 전이 표 전체(TRANSITIONS)와 UNMATCHED_EVENT_ACTIONS 를 읽고, 같은 (상태, 이벤트)에 걸린 guard 들이 입력 전체를 덮는지 손으로 확인했다 (POWER_ON 5갈래 · SELECT_DRINK 4갈래 · COLLECT_COINS_COMMAND 4갈래 · DISPENSE_COMPLETE 4갈래 · ADJUST_STOCK 2갈래 · COLLECT_UNRETURNED_BALANCE 3갈래)
[23:10:42]   확인함: 동전 보존: coins 를 움직이는 모든 경로(accept_coin · payout · apply_refill · apply_collect · dispense_to_admin)를 열거하고, 각 경로가 credit/retained/sold_total 중 어느 항과 짝이 맞는지 REQ-26 의 식과 대조했다
[23:10:42]   확인함: tests/e2e/test_scenarios.py 의 Ledger(1981~2127) 가 실제로 세는 항과 REQ-26 이 열거한 항이 같은지 비교했다 — 구현에 맞춰 추가된 항이 있는지가 관심사였다
[23:10:42]   확인함: REQ-103·REQ-105(fsync·디렉터리 동기화)는 구현에 없고 test_uc18_save_syscall_order_is_write_fsync_replace_fsync 가 xfail(strict) 로 그 공백을 명시적으로 붙들고 있다 — 이미 추적 중인 결함(SWF-294)이라 아래 findings 에 중복해 올리지 않았다
[23:10:42]   확인함: SWF-294~SWF-307 로 이미 기록·수정된 항목(판매 중지 자리의 잔액 회수, 고장 해제 후 지연 배출, REQ-85 2초, 30초 타이머 되살림, REQ-26 재기동 관통 검증)은 현재 코드/테스트에 반영되어 있음을 확인하고 제외했다
[23:10:42]   확인함: constraint 요구사항(REQ-19·REQ-27·REQ-99·REQ-114·REQ-115)이 무엇으로 검증되는지 개별 확인했다 — 앞의 셋은 불변식 테스트가, 뒤의 둘은 test_uc18_no_network_access_during_operation 이 받고 있다
[23:10:42] 검토: 6건 (high 3 / medium 2 / low 1)
[23:10:42]   [high] 배출이 실패하면 음료 가격만큼의 돈이 손님에게도 돌아가지 않고 장부 어느 항에도 잡히지 않는다 -> SWF-308
[23:10:42]   [high] 정전 정산이 POWER_LOST 이벤트에만 붙어 있어, 예고 없는 급전 차단에서는 REQ-87·88·95·96·97 -> SWF-309
[23:10:43]   [high] POWER_ON 의 어느 갈래도 ADMIN_MODE_FAULT_UNRESOLVED 로 저장된 기록을 받지 않아, 그 -> SWF-310
[23:10:43]   [medium] 미반환 보관액을 회수해도 보관액 값이 줄지 않아, 반복 회수로 동전통을 비울 수 있고 그 뒤 정상 동전 회수는 영구 -> SWF-311
[23:10:43]   [medium] 전이가 저장 파일에 남기는 state 값을 확인하는 단언이 전이 75개 중 2개에만 있다 — save(...) 인자 -> SWF-312
[23:10:43]   [low] REQ-01 · REQ-06 · REQ-07 · REQ-116 은 유스케이스 인수 조건까지만 가고 코드에도 테스트에 -> SWF-313
[23:10:43]   > SWF-309 [검토/high] 정전 정산이 POWER_LOST 이벤트에만 붙어 있어, 예고 없는 급전 차단에서는 REQ-87·8
[23:11:14]     시도 1 실패: exit 1: 
[23:11:17]     시도 2 실패: exit 1: 
[23:11:20]     시도 3 실패: exit 1: 
[23:11:20]   > SWF-310 [검토/high] POWER_ON 의 어느 갈래도 ADMIN_MODE_FAULT_UNRESOLVED 로 저장된 기록
[23:11:23]     시도 1 실패: exit 1: 
[23:11:26]     시도 2 실패: exit 1: 
[23:11:29]     시도 3 실패: exit 1: 
[23:11:29]   > SWF-312 [검토/medium] 전이가 저장 파일에 남기는 state 값을 확인하는 단언이 전이 75개 중 2개에만 있다 — 
[23:11:32]     시도 1 실패: exit 1: 
[23:11:35]     시도 2 실패: exit 1: 
[23:11:38]     시도 3 실패: exit 1: 
[23:11:38]   > SWF-313 [검토/low] REQ-01 · REQ-06 · REQ-07 · REQ-116 은 유스케이스 인수 조건까지만 가고 
[23:11:41]     시도 1 실패: exit 1: 
[23:11:44]     시도 2 실패: exit 1: 
[23:11:47]     시도 3 실패: exit 1: 
[23:11:47]   사이클 상한(3) 도달
[23:11:49]   사람 판단 필요 7건: SWF-293, SWF-297, SWF-298, SWF-301, SWF-302, SWF-308, SWF-311
[23:11:49] 검토 종료 -- 열린 지적 0건
[23:11:49] 파이프라인 완료
[23:11:49] 정지 지점: COMPLETE | 통계: {'done': 78, 'critic_fixed': 9, 'critic_blocked': 5, 'needs_human': 7}
